,interest,vacancy,cpi,price,value,adj_price,adj_value,next_quarter,change,interest_year,vacancy_year,adj_price_year,adj_value_year
2010-08-14,4.44,10.3,217.923,160000.0,171834.61113680952,73420.4283164237,78851.06718281664,69219.90983195955,0,0.9032863849765258,0.966961545405308,1.007227774234346,0.9868121402732608
2010-08-21,4.42,10.3,217.923,160000.0,171834.61113680952,73420.4283164237,78851.06718281664,71269.18347830046,0,0.9022886978369253,0.968360151871271,1.00782253770895,0.9874486149108224
2010-08-28,4.36,10.3,217.923,160000.0,171834.61113680952,73420.4283164237,78851.06718281664,71664.4290431438,0,0.8927038626609444,0.9697628100669927,1.0082943889829432,0.9880859111057971
2010-09-04,4.32,10.3,218.275,162500.0,170843.88290275756,74447.37143511625,78270.01851002521,69169.78119670525,0,0.8873790242938969,0.9711695376246602,1.0226616800191317,0.9815757147395234
2010-09-11,4.35,10.3,218.275,167000.0,170843.88290275756,76508.990951781,78270.01851002521,71049.83852824848,0,0.89612550511053,0.9725803522789177,1.0503191840960948,0.982206334923171
2010-09-18,4.37,10.3,218.275,155000.0,170843.88290275756,71011.33890734166,78270.01851002521,68035.850357415,0,0.9027490862863499,0.9739952718676125,0.9750515671335421,0.9828377659204275
2010-09-25,4.37,10.3,218.275,152000.0,170843.88290275756,69636.92589623183,78270.01851002521,68035.850357415,0,0.9051583349930293,0.9754143143325441,0.9570788707887089,0.9834700092960417
2010-10-02,4.32,10.3,218.275,159900.0,169819.71276865408,73256.21349215439,77800.80759072458,66007.49591974213,0,0.8973754643870093,0.9768374977202263,1.006712623834232,0.978314584234391
2010-10-09,4.27,9.4,219.035,149900.0,169819.71276865408,68436.55123610383,77530.85706332508,67815.92046548848,0,0.8893695425779059,0.8936014625228519,0.9418389964675273,0.9755808047143492
2010-10-16,4.19,9.4,219.035,153000.0,169819.71276865408,69851.85016093319,77530.85706332508,64651.17751043234,0,0.8750903687043138,0.89573025471871,0.9614652638708688,0.9762424432317248
2010-10-23,4.21,9.4,219.035,151000.0,169819.71276865408,68938.75408039811,77530.85706332508,65555.38978330552,0,0.8817819309622588,0.8978692138133724,0.9496798047193132,0.9769049798041244
2010-10-30,4.23,9.4,219.035,156000.0,169819.71276865408,71221.4942817358,77530.85706332508,65345.338849381245,0,0.8887272727272727,0.9000184128153195,0.9812220911684869,0.9775684162612118
2010-11-06,4.24,9.4,219.59,150000.0,168779.9748295649,68309.12154469694,76861.41209962426,62142.96658825226,0,0.8936808398524584,0.9021779254337394,0.9423787626489681,0.9699436960654764
2010-11-13,4.17,9.4,219.59,152000.0,168779.9748295649,69219.90983195955,76861.41209962426,65300.27309845065,0,0.8818218788125253,0.9043478260869565,0.9560566447729197,0.9706504889276412
2010-11-20,4.39,9.4,219.59,156500.0,168779.9748295649,71269.18347830046,76861.41209962426,65345.338849381245,0,0.9303121688809194,0.9065281899109794,0.9843825102044687,0.9713583126134331
2010-12-04,4.46,9.4,220.472,158000.0,167812.3679407956,71664.4290431438,76115.04768895624,66712.6960357953,0,0.9465736092404392,0.9087190927681724,0.9902437575889211,0.9628026624010689
2010-12-11,4.61,9.4,220.472,152500.0,167812.3679407956,69169.78119670525,76115.04768895624,63663.99756104122,0,0.978808541913356,0.9109206112560567,0.9566108228697953,0.9636500715644478
2010-12-18,4.83,9.4,220.472,156645.0,167812.3679407956,71049.83852824848,76115.04768895624,65009.011594020965,0,1.0254358388110887,0.913132822716234,0.982801267945851,0.9644989737334273
